reference_id	former_id	id_bp	VFID	gene_host	gene_name	gene_description	gene_symbol	gene_accession_id	vfdb_number	protein_host	protein_name	protein_description	protein_symbol	protein_accession_id	protein_header	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID13010	VFG044261(gb|WP_001223700) (sbnH) staphyloferrin B biosynthesis decarboxylase SbnH [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1203	VFG022095	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B biosynthesis decarboxylase SbnH	sbnH	gb|WP_001223700	22095.0	Mycobacterium sp. KMS	ESX-3 (VF0521) - Effector delivery system (VFC0086)	PPE family protein	PPE4	gb|WP_011557801	VFG022095(gb|WP_011557801) (PPE4) PPE family protein [ESX-3 (VF0521) - Effector delivery system (VFC0086)] [Mycobacterium sp. KMS]											1203	1242	1202	0.9991689699999984	1170657	411605.1137523928	6056591.693242505	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	4839	267	499.15693126694674	7279.691181027973	414.926792408102	6051.281114736469
ID17493	VFG044254(gb|WP_000570808) (sbnA) 2,3-diaminopropionate biosynthesis protein SbnA [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	981	VFG034288	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	2,3-diaminopropionate biosynthesis protein SbnA	sbnA	gb|WP_000570808	34288.0	Escherichia coli O44:H18 042	Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)	periplasmic heme-binding protein ChuT	chuT	gb|WP_014639335	VFG034288(gb|WP_014639335) (chuT) periplasmic heme-binding protein ChuT [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O44:H18 042]											981	1297	980	0.9989815099999996	916359	395105.7636020233	5813810.873165664	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3787	189	390.6400699954386	5697.084212141544	398.2059836854624	5807.425292702899
ID21804	VFG044262(gb|WP_001015549) (sbnI) bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	765	VFG041716	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI	sbnI	gb|WP_001015549	41716.0	Burkholderia cenocepacia J2315	T3SS (VF0704) - Effector delivery system (VFC0086)	SctK family type III secretion system sorting platform protein	QU43_RS64610	gb|WP_012493470	VFG041716(gb|WP_012493470) (QU43_RS64610) SctK family type III secretion system sorting platform protein [T3SS (VF0704) - Effector delivery system (VFC0086)] [Burkholderia cenocepacia J2315]											765	1256	764	0.9986930100000048	712511	393955.2216024338	5796881.143955273	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	2951	188	304.40423727397393	4439.42316082115	397.9140356522535	5803.167530485164
ID17175	VFG044252(gb|WP_000924997) (sirB) staphyloferrin B ABC transporter permease subunit SirB [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	996	VFG033279	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B ABC transporter permease subunit SirB	sirB	gb|WP_000924997	33279.0	Escherichia coli O26:H11 str. 11368	Type 1 fimbriae (VF0221) - Adherence (VFC0001)	Outer membrane usher protein fimD precursor	fimD	gb|WP_000120930	VFG033279(gb|WP_000120930) (fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli O26:H11 str. 11368]											996	1263	995	0.9989969800000006	921328	391265.58901814977	5757304.360714313	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3858	187	397.9639266021658	5803.895138748898	399.5621753033794	5827.203954567167
ID05154	VFG044277(gb|WP_001052566) (sfaD) D-ornithine--citrate ligase SfaD [Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1977	VFG009245	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)	D-ornithine--citrate ligase SfaD	sfaD	gb|WP_001052566	9245.0	Mycobacterium vanbaalenii PYR-1	FAS-II (VF0809) - Nutritional/Metabolic factor (VFC0272)	beta-ketoacyl-ACP synthase	kasB	gb|WP_011780926	VFG009245(gb|WP_011780926) (kasB) beta-ketoacyl-ACP synthase [FAS-II (VF0809) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium vanbaalenii PYR-1]											1977	1125	1976	0.9994938200000016	1696504	362965.1608854451	5340875.768802171	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	6920	122	713.8181368810232	10410.30439609704	361.0612730809424	5265.707838187677
ID06210	VFG044275(gb|WP_000262640) (sfaB) staphyloferrin A synthetase SfaB [Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1758	VFG010861	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin A synthetase SfaB	sfaB	gb|WP_000262640	10861.0	Legionella pneumophila str. Corby	Legiobactin (VF0291) - Nutritional/Metabolic factor (VFC0272)	LbtB inner membrane protein required for export of Legiobactin	lbtB	gb|WP_011946360	VFG010861(gb|WP_011946360) (lbtB) LbtB inner membrane protein required for export of Legiobactin [Legiobactin (VF0291) - Nutritional/Metabolic factor (VFC0272)] [Legionella pneumophila str. Corby]											1758	1177	1757	0.9994312240000012	1483496	356930.9695387893	5252085.246127625	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	6062	116	625.3129401405727	9119.547001320843	355.6956428558434	5187.455632150652
ID17331	VFG044253(gb|WP_001045111) (sirA) staphyloferrin B ABC transporter substrate-binding protein SirA [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	993	VFG033754	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B ABC transporter substrate-binding protein SirA	sirA	gb|WP_001045111	33754.0	Escherichia coli O26:H11 str. 11368	TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)	translocated intimin receptor protein	tir	gb|WP_001121330	VFG033754(gb|WP_001121330) (tir) translocated intimin receptor protein [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O26:H11 str. 11368]											993	1110	992	0.9989932000000028	801350	341341.98957226524	5022700.130596308	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3287	213	339.063615018486	4944.894588146093	341.45379155940185	4979.752858153165
ID02733	VFG044443(gb|WP_001032773) (harA) haptoglobin-binding heme uptake protein HarA [Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	2688	VFG005033	Staphylococcus aureus subsp. aureus str. Newman	Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)	haptoglobin-binding heme uptake protein HarA	harA	gb|WP_001032773	5033.0	Staphylococcus aureus subsp. aureus COL	Capsule (VF0003) - Immune modulation (VFC0258)	type 8 capsular polysaccharide synthesis protein Cap8G	cap8G	gb|WP_000413171	VFG005033(gb|WP_000413171) (cap8G) type 8 capsular polysaccharide synthesis protein Cap8G [Capsule (VF0003) - Immune modulation (VFC0258)] [Staphylococcus aureus subsp. aureus COL]											2688	1282	2687	0.9996283080000103	2159899	339876.31566560303	5001133.37131296	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	8821	299	909.9118187033968	13270.129346527743	338.5088611247756	4936.804072368952
ID16984	VFG043452(gb|WP_001170264) (aaa) autolysin/adhesin Aaa [SACOL0507 (VF0999) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus COL]	1005	VFG032706	Staphylococcus aureus subsp. aureus COL	SACOL0507 (VF0999) - Adherence (VFC0001)	autolysin/adhesin Aaa	aaa	gb|WP_001170264	32706.0	Listeria ivanovii subsp. ivanovii PAM 55	AgrA/AgrC (VF0793) - Regulation (VFC0301)	sensor histidine kinase	agrC	gb|WP_014091620	VFG032706(gb|WP_014091620) (agrC) sensor histidine kinase [AgrA/AgrC (VF0793) - Regulation (VFC0301)] [Listeria ivanovii subsp. ivanovii PAM 55]											1005	1094	1004	0.9990047800000028	772275	325029.3932495663	4782667.312532948	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3221	127	332.2555229615283	4845.605557778694	330.6025104094809	4821.498067441487
ID05255	VFG001317(gb|WP_001041586) (isdB) iron-regulated surface determinant protein B, haemoglobin receptor [Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1938	VFG009461	Staphylococcus aureus subsp. aureus str. Newman	Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)	iron-regulated surface determinant protein B, haemoglobin receptor	isdB	gb|WP_001041586	9461.0	Mycobacterium avium 104	Mycobactin (VF0299) - Nutritional/Metabolic factor (VFC0272)		lysine N6-hydroxylase	gb|WP_011724537	VFG009461(gb|WP_011724537) (mbtG) Lysine-N-oxygenase MbtG (L-lysine 6-monooxygenase) (lysine N6-hydroxylase) [Mycobactin (VF0299) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium avium 104]											1938	976	1937	0.9994840300000012	1407820	307262.8685232145	4521240.565196322	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	5771	113	595.2954433439862	8681.772640155492	307.16999140556567	4479.75884424948
ID16304	VFG044272(gb|WP_000974906) (NWMN_RS12030) iron ABC transporter permease [Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1032	VFG030625	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)	iron ABC transporter permease	NWMN_RS12030	gb|WP_000974906	30625.0	Mycobacterium sp. JLS	Trehalose-recycling ABC transporter (VF0842) - Nutritional/Metabolic factor (VFC0272)	carbohydrate ABC transporter permease	sugB	gb|WP_011856410	VFG030625(gb|WP_011856410) (sugB) carbohydrate ABC transporter permease [Trehalose-recycling ABC transporter (VF0842) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium sp. JLS]											1032	950	1031	0.9990307640000008	747304	306291.06809594674	4506940.94111823	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3211	138	331.22399386198924	4830.561765298785	320.9534824244082	4680.776904359288
ID13248	VFG044276(gb|WP_000170403) (sfaA) staphyloferrin A export MFS transporter [Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1194	VFG022656	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin A export MFS transporter	sfaA	gb|WP_000170403	22656.0	Mycobacterium abscessus ATCC 19977	Lysine synthesis (VF0815) - Nutritional/Metabolic factor (VFC0272)	Probable diaminopimelate decarboxylase	lysA	gb|YP_001702174	VFG022656(gb|YP_001702174) (lysA) Probable diaminopimelate decarboxylase [Lysine synthesis (VF0815) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium abscessus ATCC 19977]											1194	901	1193	0.999162341	812019	287659.41117921704	4232784.146795474	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3339	124	344.4275663360891	5023.122309041621	288.4652984389356	4206.970108075058
ID16700	VFG044013(gb|WP_000595324) (lukG) bi-component leukocidin LukGH subunit G [PVL (VF0018) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus USA300_FPR3757]	1017	VFG031577	Staphylococcus aureus subsp. aureus USA300_FPR3757	PVL (VF0018) - Exotoxin (VFC0235)	bi-component leukocidin LukGH subunit G	lukG	gb|WP_000595324	31577.0	Mycobacterium canettii CIPT 140070017	PE/PE-PGRS (VF0316) - Immune modulation (VFC0258)	PE domain-containing protein	PE_PGRS30	gb|WP_015293093	VFG031577(gb|WP_015293093) (PE_PGRS30) PE domain-containing protein [PE/PE-PGRS (VF0316) - Immune modulation (VFC0258)] [Mycobacterium canettii CIPT 140070017]											1017	924	1016	0.9990167479999976	671596	279321.1816723164	4110090.696494408	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	2736	100	282.2263616338843	4115.981622503106	277.50871350431106	4047.179569816232
ID17767	VFG044268(gb|WP_000594530) (isdF) iron-regulated surface determinant protein F, ATP-binding-cassette-type transmembrane transporter [Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	966	VFG034984	Staphylococcus aureus subsp. aureus str. Newman	Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)	iron-regulated surface determinant protein F, ATP-binding-cassette-type transmembrane transporter	isdF	gb|WP_000594530	34984.0	Escherichia coli O55:H7 str. CB9615	TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)	T3SS effector NleG family protein	nleG-2	gb|WP_001117986	VFG034984(gb|WP_001117986) (nleG-2) T3SS effector NleG family protein [TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]											966	920	965	0.9989653699999992	632174	276806.4633677127	4073087.7014255226	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	2612	130	269.4354007996001	3929.438595752235	278.91863436811605	4067.7418175488974
ID16495	VFG043451(gb|WP_000728056) (emp) extracellular matrix protein-binding adhesin Emp [Emp (VF0998) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus COL]	1023	VFG031089	Staphylococcus aureus subsp. aureus COL	Emp (VF0998) - Adherence (VFC0001)	extracellular matrix protein-binding adhesin Emp	emp	gb|WP_000728056	31089.0	Mycobacterium avium subsp. paratuberculosis K-10	Proteasome-associated proteins (VF0847) - Stress survival (VFC0282)	Pup--protein ligase	pafA	gb|WP_003878078	VFG031089(gb|WP_003878078) (pafA) Pup--protein ligase [Proteasome-associated proteins (VF0847) - Stress survival (VFC0282)] [Mycobacterium avium subsp. paratuberculosis K-10]											1023	873	1022	0.999021963999999	662211	273802.5443682101	4028886.329159518	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	2701	83	278.6160097854976	4063.328348823425	272.3519157238491	3971.9729705018817
ID23908	VFG001298(gb|WP_000037328) (cap8B) type 8 capsular polysaccharide synthesis protein Cap8B [Capsule (VF0003) - Immune modulation (VFC0258)] [Staphylococcus aureus subsp. aureus MW2]	687	VFG044122	Staphylococcus aureus subsp. aureus MW2	Capsule (VF0003) - Immune modulation (VFC0258)	type 8 capsular polysaccharide synthesis protein Cap8B	cap8B	gb|WP_000037328	44122.0	Bordetella pertussis Tohama I	Alcaligin (VF0688) - Nutritional/Metabolic factor (VFC0272)	alcaligin siderophore biosynthesis transcriptional regulator AlcR	alcR	gb|WP_003814017	VFG044122(gb|WP_003814017) (alcR) alcaligin siderophore biosynthesis transcriptional regulator AlcR [Alcaligin (VF0688) - Nutritional/Metabolic factor (VFC0272)] [Bordetella pertussis Tohama I]											687	945	686	0.9985432300000036	443608	273123.67993458314	4018897.131862965	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	1826	128	188.35721357583068	2746.9965068313863	274.1735277668569	3998.539311253837
