reference_id	former_id	id_bp	tadb_id	gene_symbol	gene_geninfo_id	gene_refseq_id	dna_strand	start_locus	end_locus	gene_description	is_antisense_dna_strand	tadb_number	protein_symbol	protein_host	protein_geninfo_id	protein_refseq_id	protein_description	protein_header	Online Feature Type	Online Feature Replicon	Online Feature Strain	Online Feature Location	Online Feature Classification (toxin-antitoxin)	Online Feature Toxin	Online Feature Antitoxin	Online Feature Regulator	Online Feature Antitoxin (RNA)	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID07820	TADB|T5979 gi|198241740|ref|NC_011205.1|:c3719927-3719652 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A3886]	276.0	T5979	SeD_A3886	198241740.0	NC_011205.1	c	3719927.0	3719652.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	True	5979.0							2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	3719652..3720190	-/RHH-RelE	SeD_A3886 (91 a.a. | 3719652..3719927 | GeneID: 6871815)	SeD_A3887 (86 a.a. | 3719930..3720190 | GeneID: 6874645)			276	39	275	0.99637725	9499	73029.37636901789	68494286.6145911	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	39	24	20.703801855060647	19326.06541129832	75.01377483717626	70021.97612789244
ID08475	TADB|AT5979 gi|198241740|ref|NC_011205.1|:c3720190-3719930 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A3887]	261.0	AT5979	SeD_A3887	198241740.0	NC_011205.1	c	3720190.0	3719930.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	True	5979.0							2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	3719652..3720190	-/RHH-RelE	SeD_A3886 (91 a.a. | 3719652..3719927 | GeneID: 6871815)	SeD_A3887 (86 a.a. | 3719930..3720190 | GeneID: 6874645)			261	39	259	0.99233676	8788	71446.06713210644	67009300.1329244	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	39	14	20.703801855060647	19326.06541129832	79.32491132207144	74046.22762949546
ID06883	TADB|AT4783 gi|161501984|ref|NC_010067.1|:c3562543-3562253 NC_010067.1 Salmonella enterica subsp. arizonae serovar 62:z4,z23:--, complete genome [SARI_03634]	291.0	AT4783	SARI_03634	161501984.0	NC_010067.1	c	3562543.0	3562253.0	NC_010067.1 Salmonella enterica subsp. arizonae serovar 62:z4,z23:--, complete genome	True	4783.0	SARI_03634	Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	161505475	YP_001572587.1	hypothetical protein SARI_03634	TADB|AT4783 gi|161505475|ref|YP_001572587.1| hypothetical protein SARI_03634 [Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980] [SARI_03634]	2.0	NC_010067	Salmonella enterica arizonae serovar 62 z4 z23  RSK2980	3562253..3562855	-/Xre-RelE	SARI_03635 (103 a.a. | 3562544..3562855 | GeneID: 5762123)	SARI_03634 (96 a.a. | 3562253..3562543 | GeneID: 5762122)			291	42	290	0.99656272	9676	70555.62724311596	66174156.140164606	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	42	27	22.29640199775762	20812.68582755203	76.61993813662411	71521.25713935406
ID04361	TADB|T1658 gi|56412276|ref|NC_006511.1|:c4018453-4018097 NC_006511.1 Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150, complete genome [SPA3872]	357.0	T1658	SPA3872	56412276.0	NC_006511.1	c	4018453.0	4018097.0	NC_006511.1 Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150, complete genome	True	1658.0	SPA3872	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	56415876	YP_152951.1	hypothetical protein SPA3872	TADB|T1658 gi|56415876|ref|YP_152951.1| hypothetical protein SPA3872 [Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150] [SPA3872]	2.0	NC_006511	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC	4017700..4018453	-/Xre-RelE	SPA3872 (118 a.a. | 4018097..4018453 | GeneID: 3176398)	SPA3871 (148 a.a. | 4017700..4018146 | GeneID: 3176661)			357	45	356	0.99719894	11724	69684.53077912107	65357154.35485105	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	45	19	23.8890021404546	22299.30624380575	66.91597238222575	62463.04269973599
ID07180	TADB|AT443 gi|1109557564|ref|NC_003197.2|:c3838508-3838221 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome. [STM3652]	288.0	AT443	STM3652	1109557564.0	NC_003197.2	c	3838508.0	3838221.0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome.	True	443.0	STM3652	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	16766938	NP_462553.1	putative cytoplasmic protein	TADB|AT443 gi|16766938|ref|NP_462553.1| putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2] [STM3652]	2.0	NC_003197	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3837736..3838496	-/RHH-GNAT	STM3651 (161 a.a. | 3837736..3838221 | GeneID: 1255175)	STM3652 (95 a.a. | 3838209..3838496 | GeneID: 1255176)			288	40	287	0.99652742	9398	69242.34050807406	64942423.89063027	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	40	21	21.23466856929297	19821.60555004956	73.73148808782281	68825.0192710054
ID07350	TADB|T4810 gi|161612313|ref|NC_010102.1|:4708297-4708581 NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome [SPAB_05600]	285.0	T4810	SPAB_05600	161612313.0	NC_010102.1		4708297.0	4708581.0	NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome	False	4810.0							2.0	NC_010102	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4708065..4708581	-/RHH-RelE	SPAB_05600 (94 a.a. | 4708297..4708581 | GeneID: 5779208)	SPAB_05599 (80 a.a. | 4708065..4708307 | GeneID: 5779207)			285	39	284	0.99649153	9257	68921.41578162341	64641428.43800381	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	39	19	20.703801855060647	19326.06541129832	72.64491878968647	67810.7558291169
ID01396	TADB|T757 gi|29140543|ref|NC_004631.1|:4391973-4392464 NC_004631.1 Salmonella enterica subsp. enterica serovar Typhi Ty2, complete genome [t4224]	492.0	T757	t4224	29140543.0	NC_004631.1		4391973.0	4392464.0	NC_004631.1 Salmonella enterica subsp. enterica serovar Typhi Ty2, complete genome	False	757.0	t4224	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	29144484	NP_807826.1	acetyltransferase	TADB|T757 gi|29144484|ref|NP_807826.1| acetyltransferase [Salmonella enterica subsp. enterica serovar Typhi str. Ty2] [t4224]	2.0	NC_004631	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	4391683..4392464	-/RHH-GNAT	t4224 (163 a.a. | 4391973..4392464 | GeneID: 1069564)	t4223 (97 a.a. | 4391683..4391976 | GeneID: 1070338)			492	61	491	0.99796734	15212	65606.97297144629	61532810.95973306	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	64	13	33.97546971086875	31714.568880079285	69.0558327456682	64460.50585381969
ID06140	TADB|T5987 gi|198241740|ref|NC_011205.1|:4725212-4725520 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A4876]	309.0	T5987	SeD_A4876	198241740.0	NC_011205.1		4725212.0	4725520.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	False	5987.0							2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	4724970..4725520	-/RHH-MazF	SeD_A4876 (102 a.a. | 4725212..4725520 | GeneID: 6873881)	SeD_A4875 (79 a.a. | 4724970..4725209 | GeneID: 6875621)			309	35	308	0.99676321	9290	63794.90881009673	59833275.12631246	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	36	19	19.11120171236368	17839.4449950446	61.8485492309504	57732.83169917346
ID05783	TADB|T4807 gi|161612313|ref|NC_010102.1|:4060439-4060756 NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome [SPAB_04851]	318.0	T4807	SPAB_04851	161612313.0	NC_010102.1		4060439.0	4060756.0	NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome	False	4807.0							2.0	NC_010102	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4060439..4061094	-/COG5606-RelE	SPAB_04851 (105 a.a. | 4060439..4060756 | GeneID: 5780010)	SPAB_04852 (113 a.a. | 4060753..4061094 | GeneID: 5780011)			318	35	314	0.98742078	8934	59613.910958089065	55911915.264722645	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	35	17	18.58033499813135	17343.90485629336	58.42872640921808	54540.58130909861
ID04862	TADB|AT4807 gi|161612313|ref|NC_010102.1|:4060753-4061094 NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome [SPAB_04852]	342.0	AT4807	SPAB_04852	161612313.0	NC_010102.1		4060753.0	4061094.0	NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome	False	4807.0							2.0	NC_010102	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4060439..4061094	-/COG5606-RelE	SPAB_04851 (105 a.a. | 4060439..4060756 | GeneID: 5780010)	SPAB_04852 (113 a.a. | 4060753..4061094 | GeneID: 5780011)			342	35	341	0.99707597	8953	55548.362994929455	52098835.908452	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	36	22	19.11120171236368	17839.4449950446	55.88070676129729	52162.11986855146
ID06751	TADB|AT5985 gi|198241740|ref|NC_011205.1|:4576600-4576893 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A4712]	294.0	AT5985	SeD_A4712	198241740.0	NC_011205.1		4576600.0	4576893.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	False	5985.0	SeD_A4712	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	198245188	YP_002218206.1	hypothetical protein SeD_A4712	TADB|AT5985 gi|198245188|ref|YP_002218206.1| hypothetical protein SeD_A4712 [Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853] [SeD_A4712]	2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	4576600..4577381	-/RHH-GNAT	SeD_A4713 (163 a.a. | 4576890..4577381 | GeneID: 6874625)	SeD_A4712 (97 a.a. | 4576600..4576893 | GeneID: 6873751)			294	34	293	0.99659788	7198	51950.92662985529	48724798.64128347	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	34	14	18.049468283899024	16848.36471754212	61.39274926496267	57307.36298483715
ID06446	TADB|AT6086 gi|1109557564|ref|NC_003197.2|:4785923-4786225 NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome [STM4529]	303.0	AT6086	STM4529	1109557564.0	NC_003197.2		4785923.0	4786225.0	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	False	6086.0							2.0	NC_003197	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4785649..4786225	-/RHH-COG2929	STM4528 (95 a.a. | 4785649..4785936 | GeneID: 1256054)	STM4529 (100 a.a. | 4785923..4786225 | GeneID: 1256055)			303	31	302	0.99669947	7364	51570.33323725915	48367839.91847615	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	31	15	16.45686814120205	15361.744301288403	54.31309617558433	50698.82607685942
ID09492	TADB|AT5987 gi|198241740|ref|NC_011205.1|:4724970-4725209 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A4875]	240.0	AT5987	SeD_A4875	198241740.0	NC_011205.1		4724970.0	4725209.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	False	5987.0	SeD_A4875	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	198244489	YP_002218351.1	hypothetical protein SeD_A4875	TADB|AT5987 gi|198244489|ref|YP_002218351.1| hypothetical protein SeD_A4875 [Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853] [SeD_A4875]	2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	4724970..4725520	-/RHH-MazF	SeD_A4876 (102 a.a. | 4725212..4725520 | GeneID: 6873881)	SeD_A4875 (79 a.a. | 4724970..4725209 | GeneID: 6875621)			240	27	239	0.99583262	5408	47813.90646533277	44844685.473572485	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	27	15	14.333401284272757	13379.58374628345	59.72250535113648	55748.26560951437
ID01753	TADB|T4784 gi|161501984|ref|NC_010067.1|:3920583-3921041 NC_010067.1 Salmonella enterica subsp. arizonae serovar 62:z4,z23:--, complete genome [SARI_03988]	459.0	T4784	SARI_03988	161501984.0	NC_010067.1		3920583.0	3921041.0	NC_010067.1 Salmonella enterica subsp. arizonae serovar 62:z4,z23:--, complete genome	False	4784.0	SARI_03988	Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	161505812	YP_001572924.1	hypothetical protein SARI_03988	TADB|T4784 gi|161505812|ref|YP_001572924.1| hypothetical protein SARI_03988 [Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980] [SARI_03988]	2.0	NC_010067	Salmonella enterica arizonae serovar 62 z4 z23  RSK2980	3920281..3921041	-/RHH-GNAT	SARI_03988 (152 a.a. | 3920583..3921041 | GeneID: 5761625)	SARI_03987 (95 a.a. | 3920281..3920568 | GeneID: 5761624)			459	39	450	0.98039155	10249	47380.2768460374	44437984.04867583	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	41	19	21.765535283525296	20317.145688800792	47.41946684863898	44263.93396252896
ID01460	TADB|T443 gi|1109557564|ref|NC_003197.2|:c3838233-3837748 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome. [STM3651]	486.0	T443	STM3651	1109557564.0	NC_003197.2	c	3838233.0	3837748.0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome.	True	443.0	STM3651	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	16766937	NP_462552.1	GNAT family N-acetyltransferase	TADB|T443 gi|16766937|ref|NP_462552.1| GNAT family N-acetyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2] [STM3651]	2.0	NC_003197	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3837736..3838496	-/RHH-GNAT	STM3651 (161 a.a. | 3837736..3838221 | GeneID: 1255175)	STM3652 (95 a.a. | 3838209..3838496 | GeneID: 1255176)			486	34	484	0.9958842100000002	10362	45241.40722421088	42431937.21940592	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	41	11	21.765535283525296	20317.145688800792	44.7850520237146	41804.82652016624
