reference_id	former_id	id_bp	vfid	vsiid	ssid	feature_names	gene_host	recname_full	subname_full	Source	Literature Name	User Designated Name	Gene Name(s)	Virulence Factor Type	Short Description	Long Description	Update Date	Status	Protein Sequences	Nucleotide Sequences	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID05692	10040|vfid|48280|vsiid|69117|ssid|RecName:_Full=Flagellar_hook-length_control_protein;_	1218	10040	48280	69117	RecName:_Full=Flagellar_hook-length_control_protein;_		Flagellar_hook-length_control_protein		"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/FLIK_SALTY"" target=""_blank"">P26416</a>"	P26416	RecName: Full=Flagellar hook-length control protein; |Name=fliK; Synonyms=flaE, flaR; OrderedLocusNames=STM1974;	virulence protein	RecName: Full=Flagellar hook-length control protein; 		Oct 2 2010 10:13PM	virulence factor	Yes	Yes	1218	132	1217	0.999179062	114270	199073.6253459052	2506291.833775243	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	481	38	255.346889545748	3228.20958529923	209.644408494046	2650.4183787350003
ID02140	13470|vfid|47278|vsiid|68115|ssid|putative_ABC-type_bacteriocin/lantibiotic_exporter_[Salmonella_typhimurium_LT2]	2067	13470	47278	68115	putative_ABC-type_bacteriocin/lantibiotic_exporter_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767512"" target=""_blank"">16767512</a>"	NP_463127.1	NP_463127|putative ABC-type bacteriocin/lantibiotic exporter, contain an N-terminal double-glycine peptidase domain|NP_463127	virulence protein	putative ABC-type bacteriocin/lantibiotic exporter [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	2067	152	2066	0.999516019	193173	198305.4884797393	2496621.164687119	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	719	30	381.6931675330412	4825.535741850616	184.6604584097925	2334.560107329761
ID06989	12113|vfid|50771|vsiid|71608|ssid|RecName:_Full=Flagellar_P-ring_protein;_AltName:_Full=Basal_body_P-ring_protein;_Flags:_Precursor;_	1098	12113	50771	71608	RecName:_Full=Flagellar_P-ring_protein;_AltName:_Full=Basal_body_P-ring_protein;_Flags:_Precursor;_		Flagellar_P-ring_protein		"<a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR><a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/FLGI_SALTY"" target=""_blank"">P15930</a>"	P15930	RecName: Full=Flagellar P-ring protein; AltName: Full=Basal body P-ring protein; Flags: Precursor; |Name=flgI; Synonyms=fla FIX, flaM; OrderedLocusNames=STM1181;	virulence protein	RecName: Full=Flagellar P-ring protein; AltName: Full=Basal body P-ring protein; Flags: Precursor; 		Apr 30 2011 01:45PM	virulence factor	Yes	Yes	1098	131	1097	0.999089221	102352	197798.4024695145	2490237.066722159	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	427	46	226.68008697720245	2865.7910455774872	206.44816664590388	2610.010059724488
ID01230	8141|vfid|10195|vsiid|12590|ssid|Mg2+_transporter_[Salmonella_typhimurium_LT2]	2727	8141	10195	12590	Mg2+_transporter_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767047"" target=""_blank"">16767047</a>"	NP_462662.1	NP_462662|Mg<sup><font size=-1>2+</font></sup> transport protein|Mg<up>2+</up> transport protein|NP_462662	virulence protein	Mg2+ transporter [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	2727	120	2726	0.999633278	253247	197055.2263464326	2480880.647733453	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	1036	50	549.9779159446879	6953.0667991060345	201.67873705342424	2549.712797618641
ID00184	8118|vfid|49011|vsiid|69848|ssid|putative_outer_membrane_protein_[Salmonella_typhimurium_LT2]	7308	8118	49011	69848	putative_outer_membrane_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16765834"" target=""_blank"">16765834</a>"	NP_461449.1	NP_461449|putative outer membrane protein|NP_461449	virulence protein	putative outer membrane protein [Salmonella typhimurium LT2]		Jan 28 2010 03:02PM	virulence factor	Yes	Yes	7308	131	7307	0.999863594	671554	194989.48308909312	2454873.4082131493	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	2768	44	1469.4390649950735	18577.30588795898	201.0726689922104	2542.0506141158976
ID01450	8110|vfid|10133|vsiid|12497|ssid|long_polar_fimbrial_outer_membrane_usher_protein_[Salmonella_typhimurium_LT2]	2529	8110	10133	12497	long_polar_fimbrial_outer_membrane_usher_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766924"" target=""_blank"">16766924</a>"	NP_462539.1	NP_462539|long polar fimbrial outer membrane usher protein|NP_462539	virulence protein	long polar fimbrial outer membrane usher protein [Salmonella typhimurium LT2]		Jan 28 2010 02:09PM	virulence factor	Yes	Yes	2529	147	2528	0.9996046870000008	232297	194905.25929122893	2453813.0496828333	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	943	40	500.6073115210818	6328.901536251921	197.94674239663172	2502.531251977826
ID01870	5778|vfid|30521|vsiid|51341|ssid|SubName:_Full=Phosphoenolpyruvate-protein_phosphotransferase;_	2247	5778	30521	51341	SubName:_Full=Phosphoenolpyruvate-protein_phosphotransferase;_			Phosphoenolpyruvate-protein_phosphotransferase	"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/Q8Z411"" target=""_blank"">Q8Z411</a>"	Q8Z411	Phosphoenolpyruvate-protein phosphotransferase. |SubName: Full=Phosphoenolpyruvate-protein phosphotransferase; |Name=ptsP; OrderedLocusNames=STY3144, t2912;	virulence protein	SubName: Full=Phosphoenolpyruvate-protein phosphotransferase; 		Oct 3 2010 09:34AM	virulence factor	Yes	Yes	2247	121	2246	0.9995549539999996	204959	193549.7913436484	2436748.0153666977	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	842	52	446.989773383617	5651.044637883476	198.927357981138	2514.928632791934
ID07657	3582|vfid|31612|vsiid|52432|ssid|UDP-3-O-[3-hydroxymyristoyl]_glucosamine_N-acyltransferase._Lipid_A_biosynthesis;_third_step._Rifampicin_resistance_protein	1026	3582	31612	52432	UDP-3-O-[3-hydroxymyristoyl]_glucosamine_N-acyltransferase._Lipid_A_biosynthesis;_third_step._Rifampicin_resistance_protein				"<a href  = ""http://mvirdb.llnl.gov/literatureVirulenceHomeURL.html"" target=""_blank"">LITERATURE</a><BR><a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR>"	"<a href=""none"" target=""_blank"">P0A1X4</a>"	firA P0A1X4	P0A1X4 firA P0A1X4|Name=lpxD; Synonyms=firA, ssc; OrderedLocusNames=STM0226;	antibiotic resistance	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase. Lipid A biosynthesis; third step. Rifampicin resistance protein	The SS-C mutant is antibiotic supersensitive; its outer membrane permeability barrier against hydrophobic antibiotics is severely deficient.	Jan 6 2010 05:09PM	virulence factor	Yes	Yes	1026	147	1025	0.9990248150000004	92967	192269.43157040863	2420628.575946287	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	384	38	203.8528182652125	2577.198504687951	198.68695737350149	2511.8893807874765
ID04716	13466|vfid|47274|vsiid|68111|ssid|putative_methyl-accepting_chemotaxis_protein_[Salmonella_typhimurium_LT2]	1389	13466	47274	68111	putative_methyl-accepting_chemotaxis_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767508"" target=""_blank"">16767508</a>"	NP_463123.1	NP_463123|putative methyl-accepting chemotaxis protein|NP_463123	virulence protein	putative methyl-accepting chemotaxis protein [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	1389	123	1388	0.999280028	123847	189196.03543944395	2381935.2150773667	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	466	35	247.3838888322631	3127.537768709857	178.10215178708646	2251.6470617061605
ID03401	11632|vfid|50377|vsiid|71214|ssid|RecName:_Full=Flagellar_hook-associated_protein_1;_Short=HAP1;_	1662	11632	50377	71214	RecName:_Full=Flagellar_hook-associated_protein_1;_Short=HAP1;_		Flagellar_hook-associated_protein_1		"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/FLGK_SALTY"" target=""_blank"">P0A1J5</a>"	P0A1J5	RecName: Full=Flagellar hook-associated protein 1; Short=HAP1; |Name=flgK; Synonyms=flaS, flaW; OrderedLocusNames=STM1183;	virulence protein	RecName: Full=Flagellar hook-associated protein 1; Short=HAP1; 		Oct 4 2010 02:25AM	virulence factor	Yes	Yes	1662	122	1661	0.999398155	147838	188748.6463167781	2376302.6873996845	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	602	32	319.5817619678592	4040.2955724535054	192.2874620745242	2430.9840989491613
ID05084	13467|vfid|47275|vsiid|68112|ssid|putative_ABC_exporter_outer_membrane_component_[Salmonella_typhimurium_LT2]	1320	13467	47275	68112	putative_ABC_exporter_outer_membrane_component_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767509"" target=""_blank"">16767509</a>"	NP_463124.1	NP_463124|putative ABC exporter outer membrane component homolog|NP_463124	virulence protein	putative ABC exporter outer membrane component [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	1320	121	1319	0.999242628	117155	188328.3422520865	2371011.154464527	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	445	31	236.2356878333843	2986.5972254847347	178.96643017680628	2262.5736556702536
ID01652	13366|vfid|21174|vsiid|40766|ssid|leucine-rich_repeat-containing_protein_[Salmonella_typhimurium_LT2]	2367	13366	21174	40766	leucine-rich_repeat-containing_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16765569"" target=""_blank"">16765569</a>"	NP_461184.1	NP_461184|Leucine-rich repeat protein, induced by the SPI-2 regulator ssrA/B|NP_461184	virulence protein	leucine-rich repeat-containing protein [Salmonella typhimurium LT2]		Jan 28 2010 02:10PM	virulence factor	Yes	Yes	2367	137	2366	0.999577784	209282	187612.7742569385	2362002.315550612	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	863	24	458.1379743824958	5791.985181108598	193.5521649271212	2446.9730380686938
ID02116	13416|vfid|47222|vsiid|68059|ssid|formate_hydrogen-lyase_transcriptional_activator_[Salmonella_typhimurium_LT2]	2079	13416	47222	68059	formate_hydrogen-lyase_transcriptional_activator_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766165"" target=""_blank"">16766165</a>"	NP_461780.1	NP_461780|formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons (EBP family)|NP_461780	virulence protein	formate hydrogen-lyase transcriptional activator [Salmonella typhimurium LT2]		Jan 28 2010 02:12PM	virulence factor	Yes	Yes	2079	134	2078	0.9995182770000004	183215	186997.2948642372	2354253.5694618016	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	737	37	391.24876838922296	4946.341921757864	188.19084578606203	2379.1928435583764
ID09379	13419|vfid|47225|vsiid|68062|ssid|putative_permease_[Salmonella_typhimurium_LT2]	861	13419	47225	68062	putative_permease_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766169"" target=""_blank"">16766169</a>"	NP_461784.1	NP_461784|Salmonella iron transporter: fur regulated|NP_461784	virulence protein	putative permease [Salmonella typhimurium LT2]		Jan 28 2010 02:12PM	virulence factor	Yes	Yes	861	127	860	0.9988385200000004	75637	186406.01835548188	2346809.532197591	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	321	29	170.4082152685761	2154.376875012584	197.9189492085669	2502.179878063396
ID06436	12253|vfid|50889|vsiid|71726|ssid|RecName:_Full=Outer_membrane_protein_S2;_Flags:_Precursor;_	1152	12253	50889	71726	RecName:_Full=Outer_membrane_protein_S2;_Flags:_Precursor;_		Outer_membrane_protein_S2		"<a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR><a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/OMS2_SALTI"" target=""_blank"">Q56111</a>"	Q56111	RecName: Full=Outer membrane protein S2; Flags: Precursor; |Name=ompS2; OrderedLocusNames=STY1649, t1341;	virulence protein	RecName: Full=Outer membrane protein S2; Flags: Precursor; 		Apr 30 2011 03:47PM	virulence factor	Yes	Yes	1152	133	1150	0.998263654	100842	185745.2676504364	2338490.830544676	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	394	42	209.16148540753576	2644.313049080866	181.5637894162637	2295.4106328826965
ID05286	13468|vfid|21380|vsiid|41074|ssid|cation_efflux_pump_[Salmonella_typhimurium_LT2]	1278	13468	21380	41074	cation_efflux_pump_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767510"" target=""_blank"">16767510</a>"	NP_463125.1	NP_463125|membrane permease, predicted cation efflux pump|NP_463125	virulence protein	cation efflux pump [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	1278	120	1277	0.999217461	111595	185286.027029989	2332709.095195429	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	411	33	218.1862195494853	2758.4077745488225	170.72474143152212	2158.378540335542
ID08330	13364|vfid|21170|vsiid|40760|ssid|secreted_effector_protein_[Salmonella_typhimurium_LT2]	954	13364	21170	40760	secreted_effector_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766251"" target=""_blank"">16766251</a>"	NP_461866.1	NP_461866|secreted protein in the Sop family; transferred to eukaryotic cells|NP_461866	virulence protein	secreted effector protein [Salmonella typhimurium LT2]		Jan 28 2010 02:10PM	virulence factor	Yes	Yes	954	126	953	0.9989515000000004	83203	185062.9144633193	2329900.158537521	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	330	32	175.186015696667	2214.779964966208	183.6331401432568	2321.572290320973
